"jday1","jday2","jday3"
-0.455737239678888,0.384394528395405,2.06465806454399
-0.770786652706748,0.331886292890762,2.06465806454399
-0.770786652706748,0.331886292890762,2.06465806454399
-0.770786652706748,0.331886292890762,1.95964159353471
-0.770786652706748,0.331886292890762,2.06465806454399
-0.875803123716035,0.331886292890762,1.64459218050685
-0.875803123716035,0.331886292890762,1.95964159353471
-0.875803123716035,0.331886292890762,1.95964159353471
-0.508245475183531,0.226869821881475,2.01214982903935
-0.455737239678888,0.384394528395405,2.06465806454399
-0.770786652706748,0.384394528395405,1.5920839450022
-0.875803123716035,0.331886292890762,1.95964159353471
-0.823294888211391,0.121853350872189,1.90713335803006
-0.875803123716035,0.331886292890762,1.64459218050685
-0.823294888211391,0.174361586376832,1.64459218050685
-0.823294888211391,0.174361586376832,1.64459218050685
-0.770786652706748,0.384394528395405,1.5920839450022
-0.455737239678888,0.279378057386119,1.90713335803006
-0.875803123716035,0.174361586376832,1.64459218050685
-0.455737239678888,0.384394528395405,2.06465806454399
-0.875803123716035,0.174361586376832,1.64459218050685
-0.823294888211391,0.121853350872189,1.64459218050685
-0.823294888211391,0.174361586376832,1.64459218050685
-0.508245475183531,0.541919234909335,1.85462512252542
-0.823294888211391,0.121853350872189,1.5920839450022
-0.560753710688175,0.541919234909335,1.85462512252542
-0.508245475183531,0.226869821881475,0
-0.770786652706748,0.489410999404692,1.90713335803006
-0.560753710688175,0.541919234909335,1.85462512252542
-0.823294888211391,0.174361586376832,1.64459218050685
-0.823294888211391,0.174361586376832,1.64459218050685
-0.823294888211391,0.174361586376832,1.64459218050685
-0.613261946192818,0.384394528395405,1.53957570949756
-0.613261946192818,0.384394528395405,1.53957570949756
-0.613261946192818,0.489410999404692,1.5920839450022
-0.560753710688175,0.541919234909335,1.85462512252542
-0.455737239678888,0.279378057386119,1.69710041601149
-0.508245475183531,0.541919234909335,1.85462512252542
-0.613261946192818,0.489410999404692,1.5920839450022
-0.613261946192818,0.489410999404692,1.5920839450022
-0.613261946192818,0.384394528395405,1.53957570949756
-0.560753710688175,0.541919234909335,1.85462512252542
-0.613261946192818,0.384394528395405,1.53957570949756
-0.455737239678888,0.279378057386119,1.69710041601149
-0.560753710688175,0.226869821881475,1.74960865151613
-0.508245475183531,0.541919234909335,1.85462512252542
-0.875803123716035,0.331886292890762,1.64459218050685
-0.613261946192818,0.489410999404692,1.53957570949756
-0.455737239678888,0.279378057386119,1.85462512252542
-0.613261946192818,0.489410999404692,1.5920839450022
-0.455737239678888,0.279378057386119,1.69710041601149
-0.770786652706748,0.331886292890762,1.95964159353471
-0.613261946192818,0.384394528395405,1.53957570949756
-0.508245475183531,0.541919234909335,1.85462512252542
-0.613261946192818,0.489410999404692,1.5920839450022
-0.455737239678888,0.279378057386119,1.85462512252542
-0.560753710688175,0.279378057386119,1.74960865151613
-0.560753710688175,0.226869821881475,1.74960865151613
-0.560753710688175,0.226869821881475,1.74960865151613
-0.560753710688175,0.279378057386119,1.74960865151613
-0.508245475183531,0.226869821881475,2.01214982903935
-0.508245475183531,0.226869821881475,2.01214982903935
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.34837724325782,-0.718278417202105,0.436902763900049
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.29586900775318,-0.665770181697461,0.384394528395405
0,0,0
-1.29586900775318,-0.613261946192818,0.384394528395405
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.34837724325782,-0.718278417202105,0.436902763900049
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.19085253674389,-0.560753710688175,0.541919234909335
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.24336077224854,-0.613261946192818,0.489410999404692
-1.13834430123925,-0.508245475183531,0.594427470413979
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.40088547876247,-0.823294888211391,0.331886292890762
-1.29586900775318,-0.665770181697461,0.384394528395405
-1.34837724325782,-0.665770181697461,0.436902763900049
-1.34837724325782,-0.665770181697461,0.436902763900049
-1.34837724325782,-0.718278417202105,0.436902763900049
-1.34837724325782,-0.665770181697461,0.436902763900049
-1.34837724325782,-0.718278417202105,0.436902763900049
-1.34837724325782,-0.718278417202105,0.436902763900049
