"moon1","moon2","moon3"
0.0654191458835627,-0.87189732169179,-0.663136782580035
0.977071051314532,-0.904083046368483,-0.663136782580035
0.977071051314532,-0.904083046368483,-0.663136782580035
0.977071051314532,-0.904083046368483,-0.848800598944643
0.977071051314532,-0.904083046368483,-0.663136782580035
0.105899025542643,-0.904083046368483,-0.923462251519509
0.105899025542643,-0.904083046368483,-0.848800598944643
0.105899025542643,-0.904083046368483,-0.848800598944643
0.444710627140545,-0.920911069303337,-0.776686320677554
0.0654191458835627,-0.87189732169179,-0.663136782580035
0.977071051314532,-0.87189732169179,-0.923462034044923
0.105899025542643,-0.904083046368483,-0.848800598944643
0.493407538663228,-0.923461874264696,-0.892907043242124
0.105899025542643,-0.904083046368483,-0.923462251519509
0.493407538663228,-0.923156228611357,-0.923462251519509
0.493407538663228,-0.923156228611357,-0.923462251519509
0.977071051314532,-0.87189732169179,-0.923462034044923
0.0654191458835627,-0.914841920874023,-0.892907043242124
0.105899025542643,-0.923156228611357,-0.923462251519509
0.0654191458835627,-0.87189732169179,-0.663136782580035
0.105899025542643,-0.923156228611357,-0.923462251519509
0.493407538663228,-0.923461874264696,-0.923462251519509
0.493407538663228,-0.923156228611357,-0.923462251519509
0.90342699844736,-0.558496966179379,-0.908899887884524
0.493407538663228,-0.923461874264696,-0.923462034044923
0.90342699844736,-0.558496966179379,-0.908899887884524
0.444710627140545,-0.920911069303337,0
0.977071051314532,-0.708703323963474,-0.892907043242124
0.90342699844736,-0.558496966179379,-0.908899887884524
0.493407538663228,-0.923156228611357,-0.923462251519509
0.493407538663228,-0.923156228611357,-0.923462251519509
0.493407538663228,-0.923156228611357,-0.923462251519509
1.50424536083096,-0.87189732169179,-0.923230512585452
1.50424536083096,-0.87189732169179,-0.923230512585452
1.50424536083096,-0.708703323963474,-0.923462034044923
0.90342699844736,-0.558496966179379,-0.908899887884524
0.0654191458835627,-0.914841920874023,-0.923336070047393
0.444710627140545,-0.558496966179379,-0.908899887884524
1.50424536083096,-0.708703323963474,-0.923462034044923
1.50424536083096,-0.708703323963474,-0.923462034044923
1.50424536083096,-0.87189732169179,-0.923230512585452
0.90342699844736,-0.558496966179379,-0.908899887884524
1.50424536083096,-0.87189732169179,-0.923230512585452
0.0654191458835627,-0.914841920874023,-0.923336070047393
0.90342699844736,-0.920911069303337,-0.922167257412337
0.444710627140545,-0.558496966179379,-0.908899887884524
0.105899025542643,-0.904083046368483,-0.923462251519509
1.50424536083096,-0.708703323963474,-0.923230512585452
0.444710627140545,-0.914841920874023,-0.908899887884524
1.50424536083096,-0.708703323963474,-0.923462034044923
0.0654191458835627,-0.914841920874023,-0.923336070047393
0.977071051314532,-0.904083046368483,-0.848800598944643
1.50424536083096,-0.87189732169179,-0.923230512585452
0.444710627140545,-0.558496966179379,-0.908899887884524
1.50424536083096,-0.708703323963474,-0.923462034044923
0.444710627140545,-0.914841920874023,-0.908899887884524
0.90342699844736,-0.914841920874023,-0.922167257412337
0.90342699844736,-0.920911069303337,-0.922167257412337
0.90342699844736,-0.920911069303337,-0.922167257412337
0.90342699844736,-0.914841920874023,-0.922167257412337
0.444710627140545,-0.920911069303337,-0.776686320677554
0.444710627140545,-0.920911069303337,-0.776686320677554
0.807584002808556,-0.923459153837594,-0.33609896243772
0.807584002808556,-0.923459153837594,-0.33609896243772
0.807584002808556,-0.923459153837594,-0.33609896243772
0.807584002808556,-0.923459153837594,-0.33609896243772
0.807584002808556,-0.923459153837594,-0.33609896243772
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.42444901683629,-0.922908579661215,-0.0619982719259574
0.807584002808556,-0.923459153837594,-0.33609896243772
1.08575363148956,-0.894601002538858,0.699080155808976
0.807584002808556,-0.923459153837594,-0.33609896243772
2.19044588002132,-0.919543398855178,0.272112701923766
0.807584002808556,-0.923459153837594,-0.33609896243772
2.19044588002132,-0.919543398855178,0.272112701923766
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.42444901683629,-0.922908579661215,-0.0619982719259574
2.19044588002132,-0.919543398855178,0.272112701923766
2.19044588002132,-0.919543398855178,0.272112701923766
1.42444901683629,-0.922908579661215,-0.0619982719259574
0.807584002808556,-0.923459153837594,-0.33609896243772
1.42444901683629,-0.922908579661215,-0.0619982719259574
2.19044588002132,-0.919543398855178,0.272112701923766
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.74696998691298,-0.91226835729056,1.26127739409799
2.19044588002132,-0.919543398855178,0.272112701923766
1.74696998691298,-0.91226835729056,1.26127739409799
0,0,0
1.74696998691298,-0.919543398855178,1.26127739409799
1.74696998691298,-0.91226835729056,1.26127739409799
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.42444901683629,-0.922908579661215,-0.0619982719259574
1.42444901683629,-0.922908579661215,-0.0619982719259574
0.543587052346165,-0.775636084626135,1.85192399054043
0.543587052346165,-0.775636084626135,1.85192399054043
0.543587052346165,-0.775636084626135,1.85192399054043
1.74696998691298,-0.91226835729056,1.26127739409799
2.19044588002132,-0.919543398855178,0.272112701923766
1.74696998691298,-0.91226835729056,1.26127739409799
0.543587052346165,-0.775636084626135,1.85192399054043
0.543587052346165,-0.775636084626135,1.85192399054043
0.543587052346165,-0.775636084626135,1.85192399054043
1.74696998691298,-0.91226835729056,1.26127739409799
0.543587052346165,-0.775636084626135,1.85192399054043
2.19044588002132,-0.919543398855178,0.272112701923766
1.08575363148956,-0.894601002538858,0.699080155808976
1.74696998691298,-0.91226835729056,1.26127739409799
1.42444901683629,-0.922908579661215,-0.0619982719259574
0.543587052346165,-0.775636084626135,1.85192399054043
1.74696998691298,-0.91226835729056,1.26127739409799
0.543587052346165,-0.775636084626135,1.85192399054043
2.19044588002132,-0.919543398855178,0.272112701923766
0.807584002808556,-0.923459153837594,-0.33609896243772
0.543587052346165,-0.775636084626135,1.85192399054043
1.74696998691298,-0.91226835729056,1.26127739409799
0.543587052346165,-0.775636084626135,1.85192399054043
1.74696998691298,-0.91226835729056,1.26127739409799
1.08575363148956,-0.91226835729056,0.699080155808976
1.08575363148956,-0.91226835729056,0.699080155808976
1.08575363148956,-0.894601002538858,0.699080155808976
1.08575363148956,-0.91226835729056,0.699080155808976
1.08575363148956,-0.894601002538858,0.699080155808976
1.08575363148956,-0.894601002538858,0.699080155808976
